Date,Q1,Q2,Q3,Q4,Q5,Combined
2019-09-12,128.19,123.77,126.31,123.95,127.31,125.29
2019-09-19,129.33,124.97,127.56,125.24,128.61,126.56
2019-09-26,129.55,125.19,127.79,125.47,128.85,126.8
2019-10-03,130.08,125.51,128.06,125.66,129.22,127.03
2019-10-10,129.68,125,127.52,125.08,128.65,126.47
2019-10-17,132.89,128.81,130.45,127.51,131.14,129.45
2019-10-24,133.35,129.21,130.79,127.79,131.29,129.68
2019-10-31,134.22,130.05,131.56,128.51,131.89,130.36
2019-11-07,135.29,131.02,132.41,129.28,132.53,131.1
2019-11-14,137.56,133.02,134.18,130.87,133.76,132.53
2019-11-21,138.04,133.45,134.54,131.17,133.98,132.82
2019-11-28,136.8,132.27,133.46,130.16,133.16,131.87
2019-12-05,135.18,130.81,132.12,128.91,132.2,130.77
2019-12-12,133.99,129.75,131.21,128.13,131.65,130.06
2019-12-19,133.67,129.49,131.05,128.04,131.74,130.02
2019-12-26,134.01,129.93,131.64,128.75,132.81,130.87
2020-01-01,135.21,130.94,132.65,129.75,133.82,131.84
2020-01-09,135.82,131.51,133.21,130.28,134.22,132.32
2020-01-16,135.23,131.06,132.91,130.06,134.05,132.08
2020-01-23,134.48,130.35,132.31,129.51,133.59,131.55
2020-01-30,134.06,129.93,131.9,129.09,133.08,131.08
2020-02-06,134.7,130.47,132.36,129.45,133.2,131.35
2020-02-13,134.07,129.88,131.81,128.93,132.74,130.85
2020-02-20,134.03,129.77,131.66,128.75,132.53,130.67
2020-02-27,132.23,127.37,130.04,127.56,131.53,129.15
2020-03-05,132.6,127.58,130.07,127.42,130.74,128.74
2020-03-12,133.6,128.58,131.05,128.41,131.6,129.66
2020-03-19,133.69,128.64,131.11,128.46,131.67,129.72
2020-03-26,133.39,127.98,130.18,127.18,129.49,128.1
2020-03-26,133.39,127.98,130.18,127.18,129.49,128.1
2020-04-02,131.03,125.54,127.64,124.51,126.9,125.52
2020-04-09,130.15,124.8,126.99,123.95,126.42,124.97
2020-04-16,130.14,124.85,127.11,124.13,126.67,125.16
2020-04-23,131.32,125.87,128.02,124.97,127.33,125.93
2020-04-30,132.18,126.78,128.97,125.98,128.19,126.84
2020-05-07,133.36,127.9,129.98,126.8,128.21,127.3
2020-05-14,133.3,127.88,129.99,126.85,128.22,127.31
2020-05-21,134.06,128.71,130.84,127.73,129.05,128.15
2020-05-28,134.2,128.87,131.02,127.91,129.21,128.32
2020-06-04,134.3,128.85,130.88,127.6,128.35,127.78
2020-06-11,134.77,129.19,131.13,127.73,128.28,127.85
2020-06-18,136.51,130.85,132.69,129.18,129.39,129.16
2020-06-25,137.02,131.25,132.99,129.4,129.5,129.36
2020-07-02,138.24,132.88,134.94,131.82,133.25,132.32
2020-07-09,139.99,134.54,136.44,133.22,134.39,133.62
2020-07-16,139.45,134.11,136.17,133.1,134.58,133.61
2020-07-23,140.05,134.62,136.63,133.49,134.71,133.89
2020-07-29,140.87,135.32,137.23,134,134.99,134.31
2020-08-06,140.4,134.89,136.92,133.81,135.09,134.23
2020-08-13,140.32,134.73,136.71,133.54,134.74,133.94
2020-08-20,140.05,134.62,136.63,133.49,134.71,133.89
2020-08-27,141.5,136.3,137.73,134.22,135.57,135.03
2020-09-03,143,137.68,138.97,135.38,136.51,136.11
2020-09-10,143.19,137.99,139.38,135.88,137.1,136.62
2020-09-17,144.42,139.18,140.5,136.93,137.96,137.59
2020-09-24,145.26,139.87,141.09,137.44,138.29,138.03
2020-10-01,146.49,141.02,142.17,138.47,139.18,139.01
2020-10-08,148.78,143.18,144.16,140.32,140.68,140.73
2020-10-16,149.16,143.58,144.76,141.05,141.39,141.36
2020-10-23,148.51,143.01,144.28,140.64,141.21,141.04
2020-10-29,148.51,143.01,144.28,140.64,141.21,141.04
2020-11-05,150.84,145.15,146.23,142.47,142.81,142.81
2020-11-12,150.35,144.67,146.0,142.45,142.91,142.71
2020-11-19,150.95,145.19,146.44,142.82,143.15,143.05
2020-11-26,149.42,143.67,144.99,141.43,141.96,141.74
2020-12-03,148.29,142.82,144.38,141.02,141.87,141.41
2020-12-10,147.46,142.14,143.83,140.59,141.65,141.04
2020-12-17,146.04,141.29,143.02,139.88,141.61,140.73
2020-12-24,145.85,141.26,143.1,140.07,141.83,140.89
2020-12-31,144.68,140.13,142.04,139.04,140.94,139.92
2021-01-07,144.92,140.2,142.07,139.02,141.08,140.01
2021-01-14,145.07,140.2,141.98,138.8,140.62,139.7
2021-01-21,145.15,140.4,142.3,139.2,141.19,140.15
2021-01-28,145.78,141.11,143.06,139.98,141.92,140.88
2021-02-04,146.45,141.78,143.75,140.69,142.7,141.62
2021-02-11,147.67,143.2,144.98,141.81,143.77,142.85
2021-02-18,148.48,144.03,145.79,142.61,144.54,143.63
2021-02-25,158.36,149.17,148.63,144.45,146.66,147.09
2021-03-04,159.21,150.06,149.55,145.42,147.52,147.99
2021-03-11,157.69,147.75,148.93,145.45,147.3,147.14
2021-03-18,157.61,147.59,148.7,145.16,146.97,146.86
2021-03-25,158.43,148.46,149.59,146.09,147.87,147.76
2021-04-01,157.93,147.9,149.01,145.46,147.19,147.12
2021-04-08,158.74,148.69,149.92,146.46,148.1,148.0
2021-04-15,159.61,149.51,150.68,147.22,148.93,148.8
2021-04-22,158.95,148.89,150.1,146.63,148.32,148.2
2021-04-29,159.19,149.12,150.32,146.78,148.29,148.27
2021-05-06,159.78,149.83,151.08,147.6,149.0,149.01
2021-05-20,160.83,150.76,152.35,149.12,150.34,150.23
2021-05-27,160.06,149.9,151.47,148.19,149.19,149.29
2021-06-03,159.31,148.92,150.47,147.08,148.37,148.38
2021-06-10,158.9,148.33,149.75,146.24,147.38,147.51
2021-06-17,159.18,148.66,150.1,146.61,147.85,147.92
2021-06-24,160.25,149.77,151.24,147.77,149.19,149.14
